Unnamed: 0,№,Title,Artist(s),lyrics,genres
59,60,"""We Don't Have to Take Our Clothes Off""",Jermaine Stewart,"16 ContributorsWe Don’t Have to Take Our Clothes Off Lyrics“We Don’t Have to Take Our Clothes Off” (released in the United Kingdom as “We Don’t Have To…”) is American R&B vocalist Jermaine Stewart’s first of three singles from 1986. The song was included on his… Read More 
Not a word from your lips
You just took for granted that I want to skinny dip
A quick hit, that's your game
But I'm not a piece of meat, stimulate my brain
Night is young, so are we
Let's get to know each other better, slow and easily
Take my hand, let's hit the floor
Shake your body to the music, maybe then you'll score

So come on, baby, won't you show some class?
Why you want to move so fast?

We don't have to take our clothes off (Mmm...)
To have a good time, oh no
We could dance and party all night
(All night, we could dance all night)
And drink some cherry wine, uh-huh
We don't have to take our clothes off (No, no, no)
To have a good time, oh no
We could dance and party all night (All night)
And drink some cherry wine, uh-huh
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, an

Just slow down if you want me
A man wants to be approached cool and romantically
I've got needs just like you
Gimme conversations, good vibrations, through and through

So come on baby, won't you show some class?
Why you want to move so fast?

We don't have to take our clothes off (No, no)
To have a good time, oh no
We could dance and party all night (all night, all night)
And drink some cherry wine, uh-huh (Oh, no, no, oh)
We don't have to take our clothes off
To have a good time, oh no (A good time, oh no)
We could dance and party all night (Party, all night)
And drink some cherry wine, uh-huh (Cherry wine, uh-huh)
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, na
Na, na, na, na, na-na-na, na, an

Yes, I want your body
And we don't have to rush the affair
So you say, you wanna taste my wine?
Not yet

So come on, baby, won't you show some class?
Why you wanna move so fast? (Oh-oh)

We don't have to take our clothes off (Oh no)
To have a good time, oh no
We could dance and party all night (Dance and party all night)
And drink some cherry wine, uh-huh (We don't have)
We don't have to take our clothes off (Clothes off, no)
To have a good time, oh no (Oh no)
We could dance and party all night (Dance and party, yeah)
And drink some cherry wine, uh-huh (Cherry wine)
Na, na, na, na, na-na-na, na, na (Oh-oh)
Na, na, na, na, na-na-na, na, na (Na-na, na-na)
Na, na, na, na, na-na-na, na, na (Oh-oh, oh-oh)
Na, na, na, na, na-na-na, na, na (Oh...)
We don't have to take our clothes off
To have a good time, oh no
We could dance and party all night (All night, all night long)
And drink some cherry wine, uh-huh (Cherry wine, cherry wine)
We don't have to take our clothes off (No...)
To have a good time, oh no
We could dance and party all night (Dance and party, yeah)","pop, 80s, soul, Disco, dance"
60,61,"""All Cried Out""",Lisa Lisa and Cult Jam,"6 ContributorsAll Cried Out Lyrics“All Cried Out” peaked at #8 on the Billboard Hot 100 and #3 on Billboard’s R&B chart in 1986, making it the highest charting single from Lisa Lisa and Cult Jam’s debut album & their biggest hit at the time.
… Read More 
All alone on a Sunday morning
Outside I see the rain is falling
Inside I'm slowly dying
But the rain will hide my crying, crying, crying
And you...

Don't you know my tears will burn the pillow
Set this place on fire 'cause I'm tired of your lies
All I needed was a simple hello
But the traffic was so noisy that you could not hear my cry

I...
I gave you my love in vain
My body never knew such pleasure
My heart never knew such pain
And you...
You leave me so confused
Now I'm all cried out
Over you (Oh, you, all over you, ooh)

Never wanted to see things your way, I had to go astray
Oh, why was I such a fool?
Now I see that the grass is greener, is it too late for me
To find my way home? How could I be so wrong?
Leaving me all alone

Don't you know the hurt will cause an inferno
Romance up in flames, why should I take the blame?
You were the one who left me neglected (I'm so sorry)
Apology not accepted, add me to the broken hearts you've collected

Oh...
I gave you all of me (Gave me all of you)
How was I to know you would weaken so easily
I...
I don't know what to do
Now I'm all cried out (I'm all)
Over you (I'm cried out, too)

I...
I gave you my love in vain
My body never knew such pleasure
My heart never knew such pain
And you...
(I left you so confused
Now I'm all cried out)
Now I'm all cried out
Over you","80s, pop, freestyle, dance, female vocalists"
61,62,"""Your Love""",The Outfield,"71 ContributorsYour Love LyricsThe Outfield’s most popular song, “Your Love” is about a boy whose girl, Josie, departs and goes away from him.
In his loneliness, he tries to persuade another woman into just staying one night with him. In… Read More 
Josie's on a vacation far away
Come around and talk it over
So many things that I wanna say
You know I like my girls a little bit older

I just wanna use your love tonight
And I don't wanna lose your love tonight

I ain't got many friends left to talk to
Nowhere to run when I'm in trouble
You know I'd do anything for you
Stay the night but keep it undercover

I just wanna use your love tonight, oh
I don't wanna lose your love tonight

Try to stop my hands from shakin'
'Cause somethin' in my mind's not makin' sense
It's been awhile since we were all alone
I can't hide the way I'm feelin'

As you’re leaving, please, would you close the door?
And don't forget what I told ya:
Just 'cause you're right, that don't mean I'm wrong
Another shoulder to cry upon

I just wanna use your love tonight, yeah
I don't wanna lose your love tonight, yeah
I just wanna use your love tonight
I don't wanna lose your love tonight
I just wanna use your love tonight
I don't wanna lose your love tonight
(Lose your love)
(Lose your love)

Tonight (Lose your love)
No, I don't wanna lose (Lose your love tonight)
I don't wanna, no, I don't wanna
I don't wanna (Lose your love tonight)
No, no (Lose your love tonight)
(Lose your love tonight)
(No) No (I don't wanna lose your love tonight)
(Lose your love tonight)","80s, rock, classic rock, pop, british"
62,63,"""I'm Your Man""",Wham!,"20 ContributorsI’m Your Man Lyrics
Call me good
Call me bad
Call me anything you want to, baby
But I know that you’re sad
And I know I’ll make you happy
With the one thing that you never had

Baby, I’m your man
Don’t you know that?
Baby, I’m your man
You bet!

If you’re gonna do it, do it right (right)
Do it with me!
If you’re gonna do it, do it right (right)
Do it with me!
If you’re gonna do it, do it right (right)
Do it with me!
If you’re gonna do it, do it right (right)
Do it with me!

So good, you’re divine
Wanna take you, wanna make you
But they tell me it’s a crime!
Everybody knows where the good people go
But where we’re going baby
Ain’t no such word as no!

Baby, I’m your man
Don’t you know who I am?
Baby, I’m your man
You bet!

If you’re gonna do it, do it right (right)
Do it with me (Come on baby)
If you’re gonna do it, do it right (right)
Do it with me (Ooh, take me home)
If you’re gonna do it, do it right (right)
Do it with me (Please don’t leave me here)
If you’re gonna do it, do it right
To do it on my own

First class information
Sense your inspiration
And with some stimulation
We can do it right

So why waste time with the other guys
When you can have mine?
I ain’t askin’ for no sacrifice
Baby, your friends do not need to know!
I’ve got a real nice place to go
Listen
I don’t need you to care
I don’t need you to understand, yeah
All I want is for you to be there
And when I’m turned on, if you want me
I’m your man! (I’m your man)

If you’re gonna do it, do it right (right)
Do it with me
If you’re gonna do it, do it right (right)
Do it with me
If you’re gonna do it, do it right (right)
Do it with me
If you’re gonna do it, do it right (right)
Do it with me
Now listen
If you’re gonna do it, you know what I say?
If you’re gonna do it don’t throw it away
Don’t throw it baby
(Don't throw it, don’t throw it)

Because
I’ll be your boy, I’ll be your man
I’ll be the one who understands
I’ll be your first, I’ll be your last
I’ll be the only one you ask
I’ll be your friend, I’ll be your toy
I’ll be the one who brings you joy
I’ll be your hope, I’ll be your pearl
I’ll take you halfway ‘round the world!
I’ll make you rich, I’ll make you poor
Just don’t use the door

If you’re gonna do it, do it right (right)
Do it with me
If you’re gonna do it, do it right (right)
Do it with me
If you’re gonna do it, do it right (right)
Do it with me","pop, 80s, new wave, british, dance"
63,64,"""Perfect Way""",Scritti Politti,"13 ContributorsPerfect Way LyricsI took a backseat, a backhander, I took her back to her room
I better get back to the basics for you, oh, yeah
You gotta conscience, compassion, you got a way with the word
You gotta heart full of complacency, too (But it's not like that)
I don't have a purpose or mission, I'm empty by definition
I got a lack, girl, that you'd love to be
You wanna diva a deduction, you wanna do what they do
Wanna do damage that you can undo (But up until that day)
Apart from everyone away from your love
A part of me belongs apart from all the hurt above
I got a perfect way to make a new proposition
I got a perfect way to make a justification
I got a perfect way to make a certain, a maybe
I got a perfect way to make the girls go crazy
I took a day job amendment, I took a liking to you
I took a page out of my rulebook for you
You wanna message a confession, you wanna martyr me, too
You wanna margin of error for two (But it's not like that)
Maybe tomorrow, the next letter or when the weather gets better
I've got to wait here for your moon to turn blue
I made an offer, an exception, I made a sense out of you
You took a good look at your book, but I knew (That up until that day)

In times of tenderness, in terms, baby, so true
Until such time as I can understand all the things you do
I got a perfect way to make a new proposition
I got a perfect way to make a justification
I got a perfect way to make a certain, a maybe
I got a perfect way to make the girls go crazy
Want to forgive you for all the things that you do
Wanna forget how to remember with you
Maybe tomorrow, the next letter or when the weather gets better
I've got to wait here for your moon to turn blue (But up until that day)
Apart from everyone away from your love
A part of me belongs apart from all the hurt above
I got a perfect way to make a new proposition
I got a perfect way to make a justification
This is a perfect way to make a certain a maybe
This is a perfect way to make the girls go crazy
A perfect way
A perfect way
I got a perfect way
A perfect way
I got a perfect way
I got a perfect way
To make a new proposition
I got a perfect way
To make a justification
I got a perfect way...","new wave, post-punk, 80s, pop, Sophisti-Pop"
64,65,"""Living in America""",James Brown,"35 ContributorsLiving In America Lyrics“Living in America” was a 1985 hit single for the godfather of soul, James Brown. The song, which topped the Billboard Dance Charts, was featured on the soundtrack of the movie Rocky IV and helped Brown boost… Read More 
Yeah, uh!
Get up, now!
Ow!
Knock me out, yeah!

Wow!
Super highways, coast-to-coast
Easy to get anywhere
On the transcontinental overload
Just slide behind the wheel
How does it feel?

(When there's no destination) That's too far
And somewhere on the way
You might find out who you are
Wow!

(Living in America) Wow! Eye to eye, station to station
(Living in America) Hand to hand, across the nation
(Living in America) Got to have a celebration

Rock my soul, huh
Ah! Huh

Smokestack, fatback
Many miles of railroad track
All night radio, keep on runnin' through
Your rock 'n' roll soul
All-night diners keep you awake, hey
Hey, on black coffee and a hard roll, woo!

(You might have to walk the fine line) Say it
(You might take the hard line)
But everybody's working overtime

(Living in America) Huh, eye to eye, station to station
(Living in America) Hand to hand, across the nation
(Living in America) Yeahh! Got to have a celebration
Yow!

I (I live in America) help me out
But I (I live in America)
Wait a minute

You might not be looking for the promised land
But you might find it anyway
Under one of those old familiar names
Like New Orleans (New Orleans)
Detroit City (Detroit City), Dallas, huh (Dallas)
Pittsburgh, P.A. (Pittsburgh, P.A.)
New York City (New York City)
Kansas City (Kansas City)
Atlanta (Atlanta), Chicago and L.A

(Living in America) Hit me
(Living in America) Yeah, I walk in and out
(Living in America)
Yow!

(I live in America) Right here, dig my mess
(I live in America) Say it, I, I

(Living in America) Eddie Murphy, eat your heart out
(Living in America)
(Living in America) Yeah
Hit me, yeah, hit me now
(Living in America)
(Living in America) Wow!
I live in America
Paying' the time makes the crime, ooh
I live in America
Hey, I know what it means
(Living in America) Hit me
I said now, eye to eye, station to station
(Living in America) I'm gonna scream, let me, wow!
(Living in America) Ahh, yes, sir
Now ain't it funky?
(Living in America) Wow! So nice with your bad self
(Living in America) Wow, I feel good!","funk, soul, rhythm and blues, blues, rnb"
65,66,"""R.O.C.K. in the U.S.A.""",John Cougar Mellencamp,"12 ContributorsR.O.C.K. in the U.S.A. (A Salute to 60's Rock) LyricsR.O.C.K. in the U.S.A. (A Salute to 60’s Rock) was the third single from John Cougar Mellencamp’s album Scarecrow.
At first, John was reluctant to include the song on the album because he felt that it was… Read More 
A-one, two, three, four

They come from the cities and they come from the smaller towns
Beat up cars with guitars and drummers going crack, boom, bam

R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA, yeah, yeah
R-O-C-K in the USA

Well, they said goodbye to their families, said goodbye to their friends
With their pipe dreams in their heads and very little money in their hands
Some are black and some are white
And they ain't too proud to sleep on your floor tonight
With the blind faith of Jesus, you know that they just might
Rocking in the USA
Hey


Voices from nowhere and voices from the larger town
Filled our head full of dreams and turned our world upside down
And there was Frankie Lymon, Bobby Fuller, Mitch Ryder
(They were rocking)
Jackie Wilson, Shangri-las, Young Rascals
(They were rocking)
Spotlight on Martha Reeves, let's don't forget James Brown
Rocking in the USA
Hey

R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA
R-O-C-K in the USA","rock, classic rock, singer-songwriter, 80s, pop"
66,67,"""Who's Johnny""",El DeBarge,"10 ContributorsWho’s Johnny Lyrics
Ow
Oh-oh, yeah

There she goes and knows I'm dying
When she says
""Who is Johnny?""
Games with names that girl is playing
All she says is
""Who is Johnny?""

I tried to understand because I'm people too
And playing games is part of human nature
My heart's in overdrive
It's great to be alive

""Who's Johnny?"" she said
And smiled in her special way
""Johnny,"" she said
""You know I love you""
""Who's Johnny?"" she said
And tried to look the other way
Her eyes gave her away, alright
Whoa-whoa-whoa, oh yeah

She makes sure I see her teasing
Hear her say
""Who is Johnny?""
There's no way today is easy
Hear her say
""Who is Johnny?""

I really couldn't help but fall in love with her
Her being there has made my life worth living
I knew it from the start
That I would lose my heart

""Who's Johnny?"", she said
And smiled in her special way
""Johnny,"" she said
""You know I love you""
""Who's Johnny?"" she said
And tried to look the other way
Still pretending

""Who's Johnny?""
""Who's Johnny?""
Ooh-oh, oh, oh no
""Who's Johnny?""
""Who's Johnny?""
Oh no-no-no-no, no, I don't believe it
""Who's Johnny?"" she said
And tried to look the other way
Her eyes gave her away

(Girls like her) Are very special girls, alright
(Girls like her) Don't rest
(Till you too) Until you too are a believer
Till you too have caught their fever
Who-who-who, who-who, who-who, who-who-who-who
Who is Johnny?

There she goes and knows I'm dying when she says
Who is—? Who-who is?

""Who's Johnny?""
She said
And smiled in her special way
""Johnny,"" she said
""You know I love you""
""Who's Johnny?"" she said
And tried to look the other way
Her eyes gave her away

Who's Johnny? Who's Johnny? Who's Johnny?
Who's Johnny? Who's Johnny? Who's Johnny?
Who's Johnny? Who's Johnny? Who's Johnny?
That girl's pretending she can't remember my name
Who's Johnny? Who's Johnny? Who's Johnny?
Oh, I can't believe it
Who's Johnny? Who's Johnny? Who's Johnny?
I hope this girl is only teasing
Who's Johnny? Who's Johnny? Who's Johnny?
She said, she walked away with someone else
And left me standing there
Who's Johnny? Who's Johnny? Who's Johnny?
Oh, oh, ooh-oh, ooh-oh
Who's Johnny? Who's Johnny? Who's Johnny?
It isn't love
Who's Johnny? Who's Johnny? Who's Johnny? Johnny-come-lately
Who's Johnny?","soul, 80s, rnb, pop, el debarge"
67,68,"""Word Up!""",Cameo,"24 ContributorsWord Up! Lyrics
Oh!

Yo, pretty ladies around the world
Got a weird thing to show you
So tell all the boys and girls
Tell yo brother, yo sister
And yo momma too
'Cause we're about to throw down
And you'll know just what to do
Wave your hands in the air
Like you don't care
Glide by the people as they start to look and stare
Do your dance, do your dance
Do your dance quick, mama
Come on baby, tell me, what's the word?

Oh, word up!
Everybody say when you hear their call
You've got to get it underway
Word up! It's the code word
No matter where you say it
You'll know that you'll be heard

Now all you sucker DJs
Who think you're fly
There's got to be a reason
And we know the reason why
You try to put on those airs and act real cool
But you've got to realize
That you're acting like fools
Give us music, we can use it
We need to dance
We don't have the time
For psychological romance
No romance, no romance
No romance for me, mama
Come on baby, tell me what's the word

Oh, word up!
Everybody say when you hear their call
You've got to get it underway

Dial ""L"" for low...
Come on, all you people say...
W-O-R-D up - W-O-R-D up
W-O-R-D up - W-O-R-D up

W-O-R-D UP
W-O-R-D up (hey)
Hey (hey you) hey, hey (what)
(hey-ey-ey Hey whew)
La, la, la, la, la, la, low (low)
(whew whoo whoo, woah)
Say it like that, (like that)
Say it like that, ya'll know it (woah)
What's the word? (What's (Woah!) the word?)
Everybody's got to know-ow (woah yeah)
Everybody say it, woah!
Low
They think real low (Oww!)
As low as you go (whew)
Ahhhh, low, low, low, low
As low as you go, man...","funk, 80s, soul, rnb, dance"
68,69,"""Why Can't This Be Love""",Van Halen,"24 ContributorsWhy Can’t This Be Love LyricsThe first single by “Van Hagar”, “Why Can’t This Be Love” is synth-driven and has lyrics recalling the feelings felt at the touch of an unrequited lover. It shot up to #3 on the Hot 100.
Oh, here it comes
That funny feeling again
Winding me up inside
Every time we touch
Hey, I don't know
Oh, tell me where to begin
'Cause I never ever
Felt so much
Hey

And I can't recall
Any love at all
Oh, baby, this blows 'em all away

It's got what it takes
So tell me why can't this be love?
Straight from my heart
Oh, tell me why can't this be love?

I tell myself
Hey, only fools rush in
Only time will tell if we stand the test of time
All I know
You've got to run to win
And I'll be damned if I'll get
Hung up on the line, hey

No, I can't recall
Anything at all
Ah, baby, this blows 'em all away
Woo

It's got what it takes
So tell me why can't this be love?
You want it straight from the heart
Oh, tell me why can't this be love?


Woo, it's got what it takes
So tell me why can't this be love?
Straight from the heart
Tell me why can't this be love?

Baby, why can't this be love?
Got to know why can't this be love?
I wanna know why can't this be love?","hard rock, classic rock, rock, heavy metal, 80s"
69,70,"""Silent Running (On Dangerous Ground)""",Mike + The Mechanics,"6 ContributorsSilent Running (On Dangerous Ground) - 2013 Remaster LyricsTake the children and yourself
And hide out in the cellar
By now the fighting will be close at hand
Don't believe the church and state
And everything they tell you
Believe in me, I'm with the high command
Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
There's a gun and ammunition
Just inside the doorway
Use it only in emergency
Better you should pray to God
The Father and the Spirit
Will guide you and protect from up here
Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
Swear allegiance to the flag
Whatever flag they offer
Never hint at what you really feel
Teach the children quietly
For some day sons and daughters
Will rise up and fight while we stood still

Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
Can you hear me, can you hear me running?
Can you hear me running, can you hear me calling you?
Can you hear me running (can you hear me calling you?)
(Can you hear me) hear me calling you?
(Can you hear me running) hear me running babe?
(Can you hear me running) hear me running?
Calling you, calling you","80s, rock, pop, classic rock, Progressive rock"
70,71,"""Typical Male""",Tina Turner,"16 ContributorsTypical Male Lyrics
Tell me lawyer what to do
I think I'm falling in love with you
Defend me from the way I feel
Won't you give me some advice
On how to handle my private life
I'm sure that we can make a deal
I confess I'm a fool for men
With a clever mind
But your intellect ain't no match
For this heart of mine

All I want is a little reaction
Just enough of to tip the scales
I'm just using my female attraction
On a typical male, on a typical male

Your sense of justice I'll embrace
But your defense don't help my case
I'm deep in trouble with the law
Something about authority
Seems to bring out the bad in me
Hey lawyer got to catch me when I fall
Oh they say that you match your wits
With the best of them
But I know when I'm close you're just
Like the rest of them

All I want is a little reaction
Just enough of to tip the scales
I'm just using my female attraction
On a typical male, on a typical male

So put your books aside
Loosen off the suit and tie
And open up your heart and let me in
Now open up your heart and let me in

All I want is a little reaction
Just enough of to tip the scales
I'm just using my female attraction
On a typical male, on a typical male

The reaction
I'm just using my feminine charm
On a typical male, on a typical

All I want is a little reaction
Just enough of to tip the scales
I'm just using my female attraction
On a typical male, on a typical male

A little reaction
I'm just using my female attraction","pop, soul, rock, female vocalists, 80s"
71,72,"""Small Town""",John Cougar Mellencamp,"19 ContributorsSmall Town Lyrics“Small Town” is a song by John Mellencamp, released as the second single from his album Scarecrow. Mellencamp shares his experiences growing up in a small town in Indiana and attemps to defend the simple life… Read More 
Well, I was born in a small town
And I live in a small town
Probably die in a small town
Oh, those small communities

All my friends are so small town
My parents live in the same small town
My job is so small town
Provides little opportunity

Educated in a small town
Taught the fear of Jesus in a small town
Used to daydream in that small town
Another boring romantic, that's me

But I've seen it all in a small town
Had myself a ball in a small town
Married an L.A. doll and brought her to this small town
Now she's small town just like me

No, I cannot forget from where it is that I come from
I cannot forget the people who love me
Yeah, I can be myself here in this small town
And people let me be just what I wanna be


Got nothing against a big town
Still hayseed enough to say, ""Look who's in the big town""
But my bed is in a small town
Oh, and that's good enough for me

Well, I was born in a small town
And I can breathe in a small town
Gonna die in this small town
Oh, that's probably where they'll bury me (Yeah)

Ooh, yeah, yeah
Oh yeah
Ooh yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah","rock, classic rock, singer-songwriter, 80s, pop"
72,73,"""Tarzan Boy""",Baltimora,"32 ContributorsTarzan Boy Lyrics“Tarzan Boy” is a song recorded by Italian-based act Baltimora. It was the group’s debut single, released in April 1985, from its first album Living in the Background, on which it features as first track. The… Read More 
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh

Jungle life, I'm far away from nowhere
On my own like Tarzan boy
Hide-and-seek, I play alone while rushing 'cross the forest
Monkey business on a sunny afternoon
Jungle life, I'm living in the open
Native beat that carries on
Burning bright, a fire that blows a signal to the sky
I sit and wonder, does the message get to you?

Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh

Night to night
Give me the other, give me the other
Chance tonight
Give me the other, give me the other
Night to night
Give me the other, give me the other world

Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh

Jungle life, you're far away from nothing
It's alright, you won't miss home
Take a chance, leave everything behind you, come and join me
Won't be sorry, it's easy to survive
Jungle life, we're living in the open
All alone like Tarzan's boy
Hide-and-seek, we play along while rushing 'cross the forest
Monkey business on a sunny afternoon

Night to night
Give me the other, give me the other
Chance tonight
Give me the other, give me the other
Night to night
Give me the other, give me the other world

Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh

Night to night
Give me the other, give me the other
Chance tonight
Oh yeah
Night to night
Give me the other, give me the other
Night to night
You won't play
Yeah
Night to night
Give me the other, give me the other
Chance tonight
Oh yeah
Night to night
Night to night
Give me the other, give me the other world

Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh
Oh-oh, oh-oh-oh, oh-oh-oh, oh-oh, oh-oh-oh","80s, new wave, pop, Disco, Italo Disco"
73,74,"""All I Need Is a Miracle""",Mike + The Mechanics,"12 ContributorsAll I Need Is a Miracle Lyrics
I said ""Go if you wanna go, stay if you wanna stay""
I didn't care if you hung around me, I didn't care if you went away
And I know you were never right, I'll admit, I was never wrong
I could never make up my mind, I made it up as I went along

And though I treated you like a child
I'm gonna miss you for the rest of my life

All I need is a miracle, all I need is you
All I need is a miracle, all I need is you
All I need is a miracle, all I need is you

I never had any time, and I never had any call
But I went out of my way just to hurt you, the one I shouldn't hurt at all
I thought I was being cool, yeah, I thought I was being strong
But it's always the same old story, you never know what you've got 'til it's gone

If I ever catch up with you
I'm gonna love you for the rest of your life

All I need is a miracle, all I need is you (All I need is a miracle)
All I need is a miracle, all I need is you (All I need is a miracle)
All I need is a miracle, all I need is you


And if I ever catch up with you
I'm gonna love you for the rest of your life

All I need is a miracle, all I need is you (All I need is a miracle)
All I need is a miracle, all I need is you (All I need is a miracle)
All I need is a miracle, all I need is you (All I need is a miracle)

All I need is a miracle (All I need is a, all I need is a, all I need is you), all I need is you (All I need is a miracle)
All I need is a miracle (All I need), all I need is you (All I need is a miracle)
All I need is a miracle (All I need is a miracle), all I need is you (All I need is a miracle)","80s, rock, pop, classic rock, Progressive rock"
74,75,"""Sweet Freedom""",Michael McDonald,"12 ContributorsSweet Freedom Lyrics“Sweet Freedom” was a single by Michael McDonald that was featured on the soundtrack to the 1986 film Running Scared and on his greatest hits compliation album Sweet Freedom: The Best of Michael McDonald.
… Read More 
No more running down the wrong road
Dancing to a different drum
Can`t you see what`s going on
Deep inside your heart?
Always searching for the real thing
Living like it's far away
Just leave all the madness in yesterday
You're holding the key when you believe it

Shine, sweet freedom
Shine your light on me
You are the magic
You're right where I want to be
Oh, sweet freedom
Carry me along
We'll keep the spirit alive
On and on
Oooh

We'll be dancing in the moonlight
Smiling with the rising sun
Living like we've never known
Going all the way, oh
Reaching out to meet the changes
Touching every shining star
The light of tomorrow
It's right where we are
There's no turning back from what I'm feeling

Shine, sweet freedom
Shine your light on me
You are the magic
You're right where I want to be
Oh, sweet freedom
Carry me along (Yeah)
We'll keep the spirit alive
On and on
Oooh

Cause they'll be starlight all night
When it comes together
Share those feelings
Dancing in your eyes
Tonight they're guiding us
Shining til the morning light

Oh
Oooh, ooh, oooh

Shine, sweet freedom
Shine your light on me
You are the magic
You're right where I want to be
Oh, sweet freedom
Carry me along
We'll keep the spirit alive
On and on

Shine, sweet freedom
Shine your light on me
You are the magic, magic, baby
Oh, sweet freedom
Carry me along
Oh, now, now, now, now
Ooh, oh baby
Shine, sweet freedom
Shine your light on me
Oh yeah, on and on, on and on, on and on
Oh, sweet freedom
Carry me along
We'll keep the spirit alive
On and on
Ooh

Shine, sweet freedom
Shine your light on me
Ohh, yeah, yeah, yeah, yeah
Shine, sweet freedom
Carry me along
We'll keep the spirit alive
On and on

Shine, sweet freedom
Shine your light on me
You are the magic
You are the magic, babe
Shine, sweet freedom
Carry me along
Oh, now, now, now, now","soul, 80s, pop, adult contemporary, yacht rock"
75,76,"""True Blue""",Madonna,,"pop, dance, female vocalists, 80s, electronic"
76,77,"""Rumors""",Timex Social Club,"17 ContributorsRumors Lyrics
How do rumors get started?
They're started by the jealous people
And they get mad seeing something they had
And somebody else is holding
They tell me that temptation is very hard to resist
But these wicked women, ooh, they just persist
Maybe you think it's cute, but girl, I'm not impressed
I tell you one time only, with my business
Please don't mess when you

Look at all these rumors
They're surrounding me everyday
I just need some time, some time to get away from
From all these rumors, I can't take it no more
My best friend said there's one out now
About me and the girl next door

Did you hear that one about Tina?
Some say she's much too loose
That came straight from a guy
Who claims he's tasted her juice
Did you hear that one about Michael?
Some say he must be gay
I tried to argue, but they said if he was straight
He wouldn't move that way
Did you hear that one about Susan?
Some say she's just a tease
In her camisole, she's six feet tall
She'll knock you to your knees when you

Look at all these rumors
They're surrounding me everyday
I just need some time, some time to get away from
From all these rumors, I can't take it no more
My best friend said there's one out now
About me and the girl next door

I can't go no place without somebody pointing a finger
I can't show my face 'cause when it comes to rumors
I'm a dead ringer, it seems from rumors I just can't get away
I bet there'll even be rumors floating around on Judgment Day
I'll think I'll write my congressman and tell him to pass a bill
For the next time they catch somebody startin' rumors
Shoot to kill when you

Look at all these rumors
They're surrounding me everyday
I just need some time, some time to get away from
From all these rumors, I can't take it no more
My best friend said there's one out now
About me and the girl next door

What's mine is mine
I ain't got time for rumors in my life
I'm a man who thinks, not a man who drinks
So please let me live my life
What's mine is mine
I ain't got time for rumors in my life
I'm a man who thinks, not a man who drinks
So please let me live my life (when you)

Look at all these rumors
They're surrounding me everyday
I just need some time, some time to get away from
From all these rumors, I can't take it no more
My best friend said there's one out now
About me and the girl next door
Look at all these rumors
They're surrounding me everyday
I just need some time, some time to get away from
From all these rumors, I can't take it no more
My best friend said there's one out now
About me and the girl next door

Stop (stop) spreadin' those rumors around
Stop (stop) spreadin' the lies
Stop (stop) spreadin' those rumors around
Stop (stop) spreadin' the lies
Stop (stop) spreadin' those rumors around
Stop (stop) spreadin' the lies
Stop (stop) spreadin' those rumors around
Stop (stop) spreadin' the lies

Stop (stop) spreadin' those rumors around
Stop (stop) spreadin' the lies","80s, pop, funk, rnb, Home collection"
