Unnamed: 0,№,Title,Artist(s),lyrics,genres
53,54,"""My Love Is the Shhh!""",Somethin' for the People featuring Trina & Tamara,"6 ContributorsMy Love Is the Shhh! Lyrics
Boy you'll never find another love
As good as this
So ya better represent
'Cause my love is the shhh (the bomb baby)
Girl you'll never find another love
As good as this
So ya better represent
Cause my love is the shhh (the bomb baby)

You keep telling me on the telephone
How ya got it going on
And how you keep me satisfied (oh yeah)
But actions speak louder than words
I must see what I've heard
Is it true or do you lie?
'Cause I need somebody
Givin' nothin' but good lovin'
All through the night (oh yeah)
Someone to break me off a little somethin'
When I need to be satisfied
And I got one thing in mind

Boy you'll never find another love
As good as this
So ya better represent
'Cause my love is the shhh (the bomb baby)
Girl you'll never find another love
As good as this
So ya better represent
Cause my love is the shhh (the bomb baby)

All these things I say to you
I swear that they are true
I'm all you'll ever need (oh yeah)
Good love is so hard to find
And I won't waste your time
Satisfaction is guaranteed
I'll be the lover
That you need
To break you off in the middle of the night
I'll take a little trip downtown
I'll be the freak
You need in your life
And I'm knowin'

Girl you'll never find another love
As good as this
So ya better represent
Cause my love is the shhh (the bomb baby)
Girl you'll never find another love
As good as this
So ya better represent
Cause my love is the shhh (the bomb baby)

Don't stop, get it, get it
Don't stop, get it, get it
Don't stop, get it, get it
Don't stop, get it, get it
Let me work that body baby
Let me work that body baby
Let me work that body baby
Let me work that body baby

Boy you'll never find another love
As good as this
So ya better represent
'Cause my love is the shhh (the bomb baby)
Girl you'll never find another love
As good as this
So ya better represent
You see, can't nobody love you like me (girl you never)
Oh baby oh (boy you never)
Nobody loves me better
Oh that's good, that's good enough
Represent","USA, soul, american, rnb, 90s"
54,55,"""Daydreamin'""",Tatyana Ali,"7 ContributorsDaydreamin’ Lyrics“Daydreamin'” was Tatyana Ali’s debut single from her debut album Kiss the Sky, where she can’t help but think of her crush.
The song peaked at #6 on the Billboard Hot 100 and #5 on Billboard’s R&B Singles… Read More 
All day long I think of you (Mmm, ah)
I can't even think of things to do (No-no)
Wishin' all of my daydreams come true (Daydreams)
Now, baby, what am I to do? (Oh-ho)
Oh, ooh, oh, woah

I think about yesterday
Somebody was talkin' to me
But I couldn't understand a word they said
Not that I was tryna be rude
But conversation couldn't make it through
The thoughts of love I had for you

Baby, your face takes up my time
'Cause I can just see your face with mine
I try to change my thoughts, it's a waste of time
You keep my mind occupied (Woah, ooh)
Oh, ooh, oh, woah

All day long I think of you
I can't even think of things to do (I can't even think, oh yeah)
Wishin' all of my daydreams come true (Yeah)
Now, baby, what am I to do?
Oh, ooh, oh, woah

Tell me what am I to do?
When I can only think of you
Even when I have simple things to do, ooh
Like talkin' on the telephone
Or watchin' TV when somethin's on
If it ain't about you, then what's the use?

Baby, your face takes up my time
'Cause I can just see your face with mine (See your face with mine, yeah)
I try to change my thoughts, it's a waste of time (Waste of time)
You keep my mind occupied (You keep)
Oh, ooh, oh, woah (Oh, ooh, all day)

All day long I think of you (Think of you, babe)
I can't even think of things to do (Yeah)
Wishin' all of my daydreams come true (My daydreams)
Now, baby, what am I to do? (What am I to do?)
Oh, ooh, oh, woah (Oh, ohh)
All day long I think of you (Yes, I do, babe)
I can't even think of things to do
Wishin' all of my daydreams come true (Yeah)
Now, baby, what am I to do? (I to do)
Oh, ooh, oh, woah (I to do)

Baby, your face takes up my time (All of my time, yeah)
'Cause I can just see your face with mine (I see it, I see it)
I try to change my thoughts, it's a waste of time (Waste of time)
You keep my mind occupied (Occupied)
Oh, ooh, oh, woah (Yo, yo-yo-yo)

What's up, girl? You all grown up now (Uh)
Doin' your singin' thing, the charts sewed up now (Uh-huh)
Well, you know I do my rap thing, I'm holdin' it down (Yeah)
And I knew that me and you was gon' connect somehow (Come on)
Your people called for this track, it ain't no trouble to me (Uh-huh)
I dreamt that you and me got married on the WB (Yeah)
You on channel 11 (Uh), I carry the M-11 (Uh-huh)
RJ, call the reverend, it's a match made in heaven (Uh-huh, uh-huh, uh-huh, come on)
Whatever have you, I let you know, I'm from Soundview
Down 'til I found you, I'm tryna be around you
I'm still comin' up, chasin' the fame and wealth
I could spoil you with time, you got everything else, what?

I'm still New York to the heart, but got love for all
When I first saw this girl, dog, I wanted to fall
Mean the hummer so stunnin', that my vibe was tense
And I was wishin' everyday that I was fresh like Prince
Then I came across my man, RJ, parlayin' in the 6
With Tatyana Ali playin'
I heard Steely Dan ""Black Cow"" and went wild
Yo, tell me how can I get down
That's when they threw me on the redeye to LA
I dirtied my cash and peeps back, and hit Shaq on the celly
Courtside seats so close that we could touch
Tatyana and Lord, Peter Gunz like what

All day long I think of you (Yeah)
I can't even think of things to do
Wishin' all of my daydreams come true (Woah, woah)
Now, baby, what am I to do? (What am I to do?)
Oh, ooh, oh, woah
All day long I think of you (All day, I do)
I can't even think of things to do (Think of, do)
Wishin' all of my daydreams come true (Oh, woah)
Now, baby, what am I to do? (Baby)
Oh, ooh, oh, woah
All day long I think of you (Daydreamin' of you, daydreamin' of)
I can't even think of things to do (Daydreamin' of you, daydreamin' of)","rnb, pop, female vocalists, 90s, soul"
55,56,"""We're Not Making Love No More""",Dru Hill,"10 ContributorsWe’re Not Making Love No More Lyrics
Sure, I've been in love a time or two
But in the end I still chose you
No one could ever make me feel this way
That's why it's killing me, what we're going through
I somehow thought 'tween me and you
Our love would stand the test of time and never ever fade

But we're not making love no more
We're not even trying to change
Tell me how it slips away
Does it ever stay the same?
We don't even talk no more
We've ran out of words to say
Tell me it don't have to change
Won't it ever stay the same?
(Oh yeah, oh yeah, baby)

Girl, I know that things aren't going right
But don't you think it deserves a fight?
A love like ours don't happen every day
And we're losing it (Losing it) right as we speak (Yeah, yeah)
And if we don't wake up, it's a memory (Oh-oh)
A time gone past, a love that sailed away

And we're not making love no more
We're not even trying to change
(We're not even trying to change)
Tell me how it slips away
(Tell me how it slips away)
Does it ever stay the same? (Hey, hey)
And we don't even talk no more
We've ran out of words to say
(We're running out of words to say)
Tell me it don't have to change
(No, it don't have to change)
Won't it ever stay the same?

I dream of lovers past and
I see a girl so sad 'cause
She lost the only man she loved
He went away
Well, it's not too late for us
To change

We're not making love no more
(We're not making love no more)
We're not even trying to change
(Not even trying to change)
Tell me how it slips away
(Been trying to change, baby)
Does it ever stay the same?
We don't even talk no more
(We don't even talk no more)
We've ran out of words to say
(We used to be best friends)
Tell me it don't have to change
(Don't even have to change, have to change)
Won't it ever stay the same?
(Dru Hill, help me sing it)

(Whoa, whoa, whoa-whoa) Said whoa, whoa, whoa, whoa, whoa
(Whoa, whoa, whoa-whoa) Said whoa, whoa, whoa, whoa, whoa
(Whoa, whoa, whoa-whoa, whoa) Hey, hey, hey, hey
(Does it ever stay the same?) Hey
(Whoa, whoa, whoa-whoa) Sometimes, I get a little lonely
(Whoa, whoa, whoa-whoa) 'Cause I remember
(Whoa, whoa, whoa-whoa, whoa) You used to say to me, Sisqo
(Won't it ever stay the same?) Yeah, yeah, yeah
(We're not making love no more) I'm gonna be here for you
(We're not even trying to change) I would wipe your tears for you
(Tell me how it slips away) How did it slip away?
(Does it ever stay the same?) Hey hey hey hey hey
(We don't even talk no more) We don't even talk no more, no
(We ran out of words to say) We ran out of words to say
(Tell me it don't have to change)
You know, you know, you know, you know love","rnb, soul, 90s, Hip-Hop, dru hill"
56,57,"""Semi-Charmed Life""",Third Eye Blind,"120 ContributorsSemi-Charmed Life LyricsBehind the catchy, upbeat “Semi-Charmed” melody that entranced many a tween when it was released in 1997 is a dark tale of a relationship’s descent into crystal meth addiction.
The song was released as the… Read More 
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo

I'm packed and I'm holding
I'm smiling, she living, she golden
She lives for me, says she lives for the ovation
Her own motivation
She comes 'round and she goes down on me
And I'll make you smile like a drug for you
Do ever what you want to do, coming over you
Keep on smiling what we go through
One stop to the rhythm that divides you

And I speak to you like the chorus to the verse
Chop another line like a coda with a curse
Come on like a freak show, takes the stage
We give 'em the games she play, she say

I want something else
To get me through this
Semi-charmed kind of life, baby, baby
I want something else
I'm not listening when you say
Goodbye

Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo

The sky was gold, it was rose
I was taking sips up into my nose
And I wish I could get back there, some place back there
Smiling in the pictures you would take
Doing crystal meth will lift you up until you break
It won't stop, I won't come down, I keep stock
With a tick-tock rhythm, a bump for the drop
And then I bumped up, I took the hit that I was given
Then I bumped again, then I bumped again, I said

How do I get back there to
The place where I fell asleep inside you?
How do I get myself back to
The place where you said

I want something else
To get me through this
Semi-charmed kind of life, baby, baby
I want something else
I'm not listening when you say
Goodbye

I believe in the sand beneath my toes
The beach gives a feeling, an earthy feeling
I believe in the faith that grows
And the four right chords can make me cry
When I'm with you I feel like I could die
And that would be alright, alright

And when the plane came in, she said she was crashing
The velvet, it rips in the city
We tripped on the urge to feel alive
But now, I'm struggling to survive
Those days you were wearing that velvet dress
You're the priestess, I must confess
Those little red panties, they pass the test
Slides up around the belly face down on the mattress
One, and you hold me
And we are broken
Still, it's all that I want to do, just a little now
Feel myself, heavy on the ground
I'm scared, I'm not coming down
No, no
And I won't run for my life
She's got her jaws now locked down in a smile
But nothing is alright, alright

And I want something else
To get me through this life, baby
I want something else
Not listening when you say
Goodbye
Goodbye
Goodbye
Goodbye

Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo

The sky was gold, it was rose (Doo-doo-doo, doo-doo-doo-doo)
I was taking sips up into my nose (Doo-doo-doo, doo-doo-doo-doo)
And I wish I could get back there, some place back there (Doo-doo-doo, doo-doo-doo-doo)
In the place we used to start
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo, doo-doo-doo-doo (I want something else)","alternative rock, rock, alternative, 90s, pop"
57,58,"""I Do""",Lisa Loeb,"7 ContributorsI Do Lyrics
When I'm done with thinking
Then I'm done with you
And when I'm done with crying
And then I'm done with you
When I feel so tired
Then I'm done with you

You know, everybody feels this way sometimes
Everybody feels this way

And I do
You can't hear it, but I do
You can't hear it, but I do

You're trying to convince me
That what I've done's not right
And I get so frustrated
I stay up every night
You ask me for an answer
And I'm so tired and I'm up in the air, I'm up in the air

You know, everybody feels this way sometimes
Everybody feels this way

And I do
You can't hear it, but I do
You can't hear it, but I'm feeling this way
Just because you say

I will be ignored and I will be denied
And I could be erased, I could be brushed aside
And I will get scared and I will get shoved down
But I feel like I do because you push me around

I'm starting to ignore you (ignore you)
Now, I doubted you so long
I'm tired of over-thinking
I know you don't belong
Now, I'm asking questions
No one pushes me around

You know, everybody feels this ways sometimes
Everybody feels this way

And I do
You can't hear it, but I do
You don't seem angry, but I do
I do (I do)
I do (I do)
I do (I do)
You don't seem angry, but I do
You don't hear it, but I do
I, I do
You can't hear it, but I do
I do (I do)
You don't seem angry, but I do
I do (I do)
You don't hear it, but I do","female vocalists, singer-songwriter, pop, indie, alternative"
58,59,"""Lookin' at Me""",Mase featuring Puff Daddy,"35 ContributorsLookin’ at Me Lyrics
Hey yo Mase, you know what I don't like?
(Why you over there lookin' at me)
I don't like when, you know, I'm in a club
(Why you over there lookin' at me)
And I'm with my honey
(Why you over there lookin' at me)
You got, you know, the haters
They wanna be tough guys all of a sudden

Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?

Hit you with the ice grill, you know
Haha, 'cause your boys ain't with you
Little do they know, the girl roll harder than
Some of yo' niggas
You dig?

Now what the hell is you lookin' for?
Can't a young man get money anymore?
Let my pants sag down to the floor
Really do it matter as long as I score?
Can't my car look better than yours?
Can I have a bad bitch without no flaws?
Come to see me without no drawers
In a stretch Lex with about ten doors
I was Murda, P. Diddy made me pretty
Did it for the money, now can you get with me?
People wanna know who is he, he get busy
Spray so much izzy, girls get dizzy
Niggas on the block know Mase motto
One thing about Harlem World, we all got dough
'98 Tahoe, Tommy and a Roscoe
Case I'm ever chased by Donnie Brasco

Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?

Yo, I can't get mad 'cause you look at me
'Cause on the real, look at me
Yo, it always be the haters that be sittin' in the rear
Dissin' every year, but they better listen here
You cats keepin' it real, you cats is on your own
'Cause bein' broke and alone is something I can't condone
Plus it won't be long 'til they send me the dome
Sit gently while I'm on the Bentley phone
Why you don't like me, 'cause I'm mad fly and icy?
And why you can't satisfy your wifey?
And if it wasn't for this Bad Boy exposure
CD, TV's, really would I know ya?
Now me and Blink float in a gold Rover
So it's only right you get the cold shoulder
And if you got a girl, don't be real committed
'Cause Mase will hit it, you got to deal with it

Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?

Make it hot baby, make it hot (Come on)
Make it hot baby, make it hot (Come on)
Make it hot baby, make it hot (Come on)
Make it hot baby, make it hot (Come on)
(We don't stop)

We was all at the Greek Fest, it's hot and sandy
I rent scooters, I'm with my family
Tank top, flip flop, really nothing fancy
But get approached by a girl named Tammy
Who look good enough to be Miss Miami
But say since some her peeps call her Candy
Than she starts to ask about Aaliyah and Brandy
Tellin' me how she met Puff down at the Grammy's
""He ain't tell you I was the one with no panties?""
Boo, you know how many he meet with no panties?
Please, tell me something that I don't know
Like if we have sex, you don't want dough
And if it's not a problem, you can meet me at 10
I'll be in room 112 and bring four friends
And if you gon' hit me, it gotta be a quickie
And please no hickies, 'cause wifey's with me

Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?
Why you over there lookin' at me
While my girl standin' here?","Hip-Hop, rap, hip hop, rnb, hiphop"
59,60,"""Looking Through Your Eyes""",LeAnn Rimes,"6 ContributorsLooking Through Your Eyes LyricsLooking Through Your Eyes is a song from the soundtrack to the 1998 Warner Bros. animated film Quest for Camelot.
It is also featured on Leann Rimes‘ third album Sittin’ on Top of the World.
The song peaked… Read More 
Look at the sky
Tell me what do you see
Just close your eyes
And describe it to me
The heavens are sparkling
With starlight tonight
That's what I see through your eyes
I see the heavens
Each time that you smile
I hear your heartbeat
Just go on for miles
And suddenly I know
My life is worth while
That's what I see through your eyes

Here in the night
I see the sun
Here in the dark
Our two hearts are one
It's out of our hands
We can't stop
What we have begun
And love just took me by surprise
Looking through your eyes

I look at myself
And instead I see us
Whoever I am now
It feels like enough
And I see a girl
Who is learning to trust
That's who I see through your eyes

Here in the night
I see the sun
Here in the dark
Our two hearts are one
It's out of our hands
We can't stop
What we have begun
And love just took me by surprise
Looking through your eyes

And there are some things we don't know
Sometimes a heart just needs to go
And there is so much
I'll remember
Underneath the open sky with you forever

Here in the night
I see the sun
Here in the dark
Our two hearts are one
It's out of our hands
We can't stop
What we have begun
And love just took me by surprise
Looking through your eyes","country, pop, female vocalists, singer-songwriter, female"
60,61,"""Lately""",Divine,"6 ContributorsLately Lyrics
Lately (I've been watchin' you)
Been thinkin' 'bout you baby (And everything you do)
Just sittin' away watchin' the days go by
Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by

Have you ever felt a breeze hit your heart
Like the wind was blowin' it apart (blowin' it apart)
As you're spinnin' like a merry-go-round
Indications of a storm touchin' down
I wish that I could weather any storm
But I guess it was a heartbreak from the norm
Was a day I will always remember
The saddest day in sweet November

Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by
Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by (Watchin' the days go by)

Baby, I'm on my knees
Prayin', ""God help me, please
Bring my baby back
Right back to me"" (Mmm)
If lovin' you is right
Then I don't wanna go wrong
So I drown myself with tears
Sitting here, singin' another sad love song

Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by
Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by

Lately, I've been torn apart
I wish you hadn't broke my heart
I'm missin' you, babe, missin' you every day
Lately, I've been torn apart
I wish you hadn't broke my heart
I'm missin' you babe, missin' you every day

Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by
Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by

Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by
Lately (I've been watchin' you)
Been thinkin' 'bout you, baby (And everything you do)
Just sittin' away watchin' the days go by","Disco, 80s, Hi-NRG, dance, pop"
61,62,"""Quit Playing Games (With My Heart)""",Backstreet Boys,"27 ContributorsTranslationsDeutschQuit Playing Games (With My Heart) Lyrics“Quit Playing Games (with My Heart)” is the breakthrough single from the Backstreet Boys‘ self-titled debut LP.
The single was not the label’s first choice for their U.S. debut. It still went on to reach #2… Read More 
Baby, oh-oh

Even in my heart, I see
You're not being true to me
Deep within my soul, I feel
Nothing's like it used to be

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby

Quit playing games with my heart
Quit playing games with my heart (With my heart)
Before you tear us apart (My heart)
Quit playing games with my heart
I should have known from the start
You know you have got to stop (From my heart)
You're tearing us apart (My heart)
Quit playing games with my heart

I live my life the way
To keep you coming back to me
Everything I do is for you
So what is it that you can't see

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby
You better …

Quit playing games with my heart
Quit playing games with my heart (With my heart)
Before you tear us apart (My heart)
Quit playing games with my heart
I should have known from the start
You know you have got to stop (From my heart)
You're tearing us apart (My heart)
Quit playing games

Baby, baby!
The love that we had was so strong
Don't leave me hanging here forever
Oh baby, baby, this is not right
Let's stop this tonight

Baby, oh-oh, quit playing games
Na na na na na na
Na na na na na na, baby
Na na na na na na

Sometimes I wish I could turn back time
Impossible as it may seem
But I wish I could so bad, baby

Quit playing games with my heart
Quit playing games with my heart (With my heart)
Before you tear us apart (My heart)
Quit playing games with my heart
I should have known from the start
You know you have got to stop (From my heart)
You're tearing us apart (My heart)
Quit playing games with my heart

Quit playing games with my heart
Na na na na na na
Na na na na na, baby
Na na na na na na
Quit playing games with my heart
Na na na na na na
With my heart
Na na na na na, baby
My heart, my heart","pop, boybands, 90s, dance, backstreet boys"
62,63,"""I Still Love You""",Next,"5 ContributorsI Still Love You Lyrics
I still love you, babe
(It ain't ever gonna change, baby, that's real)
I'm still for you, girl
(On the DM, baby)
I'll never leave you, baby (Nah)
'Cause I realize I need you in my life (I need you)

Girl, it just ain't right
What we said last night
'Cause I know we didn't mean it (Nah, baby)
You feel the love is gone (Yeah)
'Cause we don't get along
But I can prove you wrong
Girl, I swear

'Cause every time I close my eyes, I see you (I see you)
And how I wanna live my life is with you
There is no one else
You're all I need and all I want
The only one I'll ever love, yeah

I still love you, babe
(It's all about you)
('Cause without you there's no me)
I'm still for you, girl
(I love you, girl)
(Even though we disagree sometimes)
I'll never leave you, baby
(Let's make it right)
(I'll never leave you, baby)
'Cause I realize I need you in my life (I need you)

In this relationship we spend a lot of time
Now it would be wrong if everything was always fine
Girl, I know we've had our shares of ups and downs (I know, baby)
But it doesn't mean that we can't work this out
Oh, baby girl, I care, yeah (I love you, girl)
You know I do

'Cause every time I close my eyes, I see you (I see you)
And how I wanna live my life with you, oh
There is no one else
You're all I need and all I want
The only one I'll ever love, yeah

I still love you, babe
('Cause without you there's no me) (Nah)
I'm still for you, girl
(Even though we disagree sometimes)
I'll never leave you, baby (I love you)
(I'll never leave you, baby)
'Cause I realize I need you in my life (I need you)
(No, oh girl, I know I need you, baby)

'Cause every time I close my eyes, I see you (I see you)
(Know I see you, girl, oh)
And how I wanna live my life with you (Know I do)
There is no one else
You're all I want and all I'll need
The only one I'll ever love, yeah

I still love you, babe
('Cause without you there's no me)
I'm still for you, girl
(Even though we disagree sometimes)
I'll never leave you, baby
(I'll never leave you, baby)
'Cause I realize I need you in my life
(I realize, I realize, yeah)
I still love you, babe
(I realize, I realize I need you)
I'm still for you, girl
(And there ain't nothin' I won't do for you)
I'll never leave you, baby
(You can always count on me because)
'Cause I realize I need you in my life
(I realize I need you in my life)
I still love you, babe
(Baby, there ain't nothin' I won't do)
I'm still for you, girl
(It's all about you) (Girl, it's all, girl, it's all about you)
I'll never leave you, baby
(I'll be right here because I realize)
'Cause I realize I need you in my life

Next, '9-7, y'all","rnb, 90s, soul, Hip-Hop, thrash metal"
63,64,"""Time After Time""",INOJ,"12 ContributorsTime After Time Lyrics
I'm lying in my bed
Hear the clock tick
And think of you
Caught up in circles
Confusion, there's nothing new
Flashback, warm nights
Almost left behind
Suitcase of memories
Time after...
Sometimes you'll picture me
I'm walking too far ahead
You're calling to me
I can't hear what you've said
And you said, ""Go slow""
I fall behind
The second hand unwinds

If you're lost, you can look
And you will find me
Time after time
If you fall, I will catch you
I'll be waiting
Time after time
If you're lost, you can look
And you will find me (And you will find me)
Time after time (Time after)
If you fall, I will catch you
I'll be waiting (I will be waiting)
Time after time

After my picture fades
And darkness has turned to gray
Watching through windows
You're wondering if I'm okay
Secret stolen
All from deep inside
The 808's on time

If you're lost, you can look
And you will find me
Time after time (Time after)
If you fall, I will catch you
I'll be waiting (And I will be waiting)
Time after time (Ooh)
(That's right, mmm)
Time after

And you said, ""Go slow""
I fall behind
The 808's on time

If you're lost, you can look
And you will find me
Time after time (Time)
If you fall, I will catch you
I'll be waiting (Yeah)
Time after time (Time after)
If you're lost, you can look
And you will find me (I know you will find me)
Time after time (Time after)
If you fall, I will catch you
I'll be waiting (I will be waiting)
Time after time

Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)
Time after time (Time after time)","rnb, pop, female vocalists, american, 90s"
64,65,"""Are You Jimmy Ray?""",Jimmy Ray,"13 ContributorsAre You Jimmy Ray? Lyrics“Are You Jimmy Ray” is James ‘Jimmy Ray’ Edwards' debut single. The LA Times reported that Ray’s mix of rockabilly, acoustic guitars and hip-hop beats are a style Ray calls “popabilly hip-hop.” The song was… Read More 
Well!

Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray? (Who wants to know?)
Are you Fay Wray?
Who wants to know? Who wants to know?
Are you Sting Ray? (Who wants to know?)
Are you Link Wray? (Who wants to know?)
Are you Jimmy Ray?
Who wants to know? Who wants to know?

Baby, can you tell when you look in my eye
You don't mess around with me
'Less you feelin' dangerous?
Are you into my scene? Lay it on the line
You come and take a walk with me
If you're feelin' dangerous
Because I'm meaner, I'm leaner
I ain't no in-betweener
With Aretha, I'm a dreamer
Good God, I'm a believer

Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray? (Who wants to know?)
Are you Fay Wray?
Who wants to know? Who wants to know?
Are you Sting Ray? (Who wants to know?)
Are you Link Wray? (Who wants to know?)
Are you Jimmy Ray?
Who wants to know? Who wants to know 'bout me?

Well, maybe we can shake it down by the walk
Do you think I'm takin' liberties?
Are you dangerous?
I've gotta let it out, it's somethin' in my genes
You come and take a walk with me
If you're feelin' dangerous
Because I'm meaner, I'm leaner
I ain't no in-betweener
With Aretha, I'm a dreamer
Good God, I'm a believer

Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray? (Who wants to know?)
Are you Fay Wray?
Who wants to know? Who wants to know?
Are you Sting Ray? (Who wants to know?)
Are you Link Wray? (Who wants to know?)
Are you Jimmy Ray?
Who wants to know?
I said, who wants to know?
Who wants to know 'bout me?

Everybody jump back, turn around now
Let's do it again
Everybody jump back, turn around now
Let's do it again

Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray? (Who wants to know?)
Are you Fay Wray?
Who wants to know? Who wants to know?
Are you Sting Ray? (Who wants to know?)
Are you Link Wray? (Who wants to know?)
Are you Jimmy Ray?
Who wants to know? Who wants to know 'bout me?

Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray? (Good God!)
Are you Fay Wray?
Who wants to know? Who wants to know?
Are you Sting Ray? (Who wants to know?)
Are you Link Wray? (Who wants to know?)
Are you Jimmy Ray?
Who wants to know? Who wants to know 'bout me?
Are you Johnnie Ray? (Who wants to know?)
Are you Slim Ray...?","pop, british, 90s, rock, singer-songwriter"
65,66,"""Cruel Summer""",Ace of Base,"9 ContributorsCruel Summer Lyrics
Mmm-mmm-mmm-mmm-mmm-mmm
Ahh-ahh-ahh-ahh-ahh-ahh
Mmm-mmm-mmm-mmm-mmm-mmm
Ahh-ahh-ahh-ahh-ahh-ahh

Hot summer streets
And the pavements are burning
I sit around
Trying to smile, but the air is so heavy and dry

Strange voices are saying
(Ah, what did they say?)
Things I can't understand
It's too close for comfort
This heat has got right out of hand (Ahh)

It's a cruel (Cruel), cruel summer
Leaving me here on my own
It's a cruel (It's a cruel), cruel summer
Now you're gone
You're not the only one, it's a cruel

The city is crowded
My friends are away
And I'm on my own
It's too hot to handle
So I gotta get up and go (And go)

It's a cruel (Cruel), cruel summer
Leaving me here on my own
It's a cruel (It's a cruel), cruel summer
Now you're gone
You're not the only one, it's a cruel
Cruel (Cruel), cruel summer
(Leaving me) Leaving me here on my own
It's a cruel (It's a cruel), cruel summer
Now you're gone
You're not the only one, it's a cruel
(Mm-mm)
(Ahh)

Now, don't you leave me
Mmm, now don't you leave me
Now, don't you leave me
Come on, come on
Mmm, now don't you leave me
Mmm, now don't you leave me
Now, don't you leave me
Come on, come on

It's a cruel (Cruel), cruel summer (Cruel summer)
Leaving me here on my own (Leaving me here all alone)
It's a cruel (It's a cruel), cruel summer (Cruel summer)
(Leave me here in this summer)
You're not the only one (You're not the only one)
It's a cruel (Cruel), cruel summer (You're not the only one)
Leaving me here on my own (Ooh, ooh)
It's a cruel (It's a cruel), cruel summer (Ooh, ooh)
Now you're gone
You're not the only one
It's a cruel (Cruel) Cruel summer (Cruel summer)
(It's a cruel summer)
It's a cruel (Cruel) Cruel summer (Cruel summer)
(It's a cruel summer)","pop, 90s, dance, swedish, female vocalists"
