Unnamed: 0,№,Title,Artist(s),lyrics,genres
52,53,"""Never Lie""",Immature,"7 ContributorsNever Lie Lyrics
Friends come a dime a dozen (Ooh)
But I know that I'll never find a friend like you
And that's why I wanna sing this song
Wherever you are
Wherever (I will never lie again)
I just want to let you know
That I will never lie again (I will never lie again)
I promise

I will never lie again
'Cause you'll always be my friend (You will always be)
I will never lie again (I will never lie)
'Cause a friend like you will last forever

Sitting in my window, I'm thinking of you
All the fun things we used to do
I feel the pain, please come back to me
'Cause a friend like you will only come once in a lifetime

I will never lie again (I will never lie again)
'Cause you'll always be my friend (You'll always be my friend)
I will never lie again (I will never, I will never lie)
'Cause a friend like you will last forever (Last forever)

On the phone, when you were here
Laughing and joking, crying and sulking
In my dreams, you're still with me
'Cause a friend like you only comes once in a lifetime

I will never lie again (I will never lie)
'Cause you'll always be my friend (You'll always be my friend)
I will never lie again (I will never, never lie)
'Cause a friend like you will last forever (Last forever)

When I think of you, I think of someone special
And how it used to be, yeah
I know you'll always be my friend
I'm so sad it had to end

I will never lie again (Lie, don't wanna lie to you)
'Cause you'll always be my friend (Come back to me, come back, I love you)
I will never lie again (I don't wanna lie)
'Cause a friend like you will last forever (A friend like you will last forever)
I will never lie again (La-dee-ah-yee-ah, la-dee-ah-yee-ah)
'Cause you'll always be my friend (You'll always be my friend)
I will never lie again (Don't wanna lie to you, girl)
'Cause a friend like you will last forever (A friend like you will last forever)
I will never lie again (La-dee-ah-yee-ah, la-dee-ah-yee-ah)
'Cause you'll always","rnb, 90s, Hip-Hop, soul, r&b"
53,54,"""Streets of Philadelphia""",Bruce Springsteen,"43 ContributorsStreets of Philadelphia Lyrics“Streets of Philadelphia” was written and performed by American rock musician Bruce Springsteen for the film Philadelphia (1993), an early mainstream film dealing with HIV/AIDS.

 It was recorded during… Read More 
I was bruised and battered, I couldn't tell what I felt
I was unrecognizable to myself
Saw my reflection in a window and didn't know my own face
Oh, brother, are you gonna leave me wastin' away

On the streets of Philadelphia?

I walked the avenue 'til my legs felt like stone
I heard the voices of friends vanished and gone
At night I could hear the blood in my veins
Just as black and whispering as the rain

On the streets of Philadelphia

Ain't no angel gonna greet me
It's just you and I, my friend
And my clothes don't fit me no more
I walked a thousand miles just to slip this skin

The night has fallen, I'm lyin' awake
I can feel myself fading away
So receive me, brother, with your faithless kiss
Or will we leave each other alone like this
On the streets of Philadelphia?","rock, classic rock, singer-songwriter, folk, 80s"
54,55,"""Getto Jam""",Domino,"15 ContributorsGetto Jam Lyrics
Here we go here we go as the tune starts to bloom
With a phat phat phat chorus
1-2-3 if this is O.G
The freaks would ya move ya booties
The getto jam is about to slam
With some notes from the diggady D-E
As I key what's really goin on
Would ya reminisce with me-e

Saturday mornin' just gettin up
With a hangover smellin' like I fucked
I really can't remember cause I'm still kinda faded
So I close my eyes and thank God that I made it
Now I'm gettin flashbacks of some O.J
With a green glass, says Tanqueray
Took it to the head, gulped it down with the quickness
Now I need a bitch so I can handle my business
What do you know, a freak's in my reach
Threw her on the flo', stuck it in her deep
She's screamin and she's screamin and she's screamin, gettin hoarse
But then I busted a nut, and that was that
So kick the chorus


My homies are down, chillin' in the hood
But them hood bitches, well they ain't no good
To another man well she might be some good cat
But homies in the hood label her as a hood rat
She's scandalous
So those with game can fuck
And ooh, she'll clown your ass real fast, if you're quick to nut
And when you're in that thi-ing
She'll make a nigga si-ng
Duh-du-dway, duh-dum-dway, duh-dum-dway
But you don't hear me doe
Ain't nuthin wrong with being a Trojan man, when ya ridin
So let's kick the chorus please if ya like it


My homie's clownin' in his dope, yellow chevy
Too O.D.'ed to be dropped
Kenwood's kickin that funk in the trunk
Clean with the rag on top, yeah
Rollin down the 'Shaw, guess what we saw, some bitches
The finest one is on my nuts, she's blowing kisses
So I approached the freak of the week
And I played it like a game of blackjack
And for all that ass that she toted around
Well I offered a backpack
And since I'm a mack
Well you know how the story goes
So all ya hoes and their bros here we go","eurobeat, rap, hip hop, Hip-Hop, G-funk"
55,56,"""Endless Love""",Luther Vandross & Mariah Carey,"21 ContributorsEndless Love LyricsTommy Mottola, president of Sony Music Entertainment, had suggested that Luther Vandross record Songs, a collection of cover songs. Mottola’s then-wife Mariah Carey suggested a duet cover of “Endless Love”… Read More 
My love, there's only you in my life
The only thing that's right
My first love, you're every breath that I take
You're every step I make

And I (And I)
I want to share all my love with you (Hey you)
No one else will do, you know it
And your eyes (Your eyes, your eyes)
They tell me how much you care
Oh, yes, you will always be my endless love

Two hearts, two hearts that beat as one
Our lives have just begun
And forever (Forever)
I'll hold you close in my arms
I can't resist your charms
And love (And love)
I'll be a fool for you
(Honey I'm sure)
I'm sure you know I don't mind
(Oh you know I don't mind, baby baby baby baby)
'Cuz baby you, you mean the world to me
Oh I know I found in you my endless love


Oh and love, I'll be that fool for you (For you baby)
I'm sure (I'm so sure)
That you know I don't mind
(I don't mind, I don't mind)
And yes, you'll be the only one
'Cuz no one, no one can deny
This love I have inside
And I'll give it all to you

My love
My love, my love
My, my, my
My endless love","pop, female vocalists, male vocalists, r&b, USA"
56,57,"""I Miss You""",Aaron Hall,"12 ContributorsI Miss You Lyrics
I miss you
I'm talking to you, baby
I miss you

We used to talk and laugh all night, girl
What happened to those days?
Did they all just fade away?
Holding you in my arms made me feel so happy
Then you said you had to go
What's wrong?
Baby, I need to know,  oh, oh, oh, oh

But now it's a dream (Now it's a dream)
Now I wish you could come back to make come true
(You could come back to make come true)
But you're long gone away, (Come on back, baby)
'Cause baby, I'm missing you
I miss you, yes I do from the bottom of my heart

(I miss you) Oh, yes I do
(I'm talking to you, baby) Hear me when I say
(I miss you) Oh, yes I do
Yes I do
(I miss you) Oh, oh, oh, oh, oh, oh, oh
(I'm talking to you, baby) I'm talking to you
(I miss you) Only to you, baby

I thought you'd be with me forever
But I guess someone took my place
Took the place of me loving you
And making love to you all through the night
I wish you were still here so I can see your pretty face again
Please come back and rescue me from all this pain and misery
Eh, eh

But now it's a dream (Now it's a dream)
And I wish you could come back to make come true
(Come back to make come true)
But you're long gone away, (But you're long gone away, baby)
'Cause baby, I'm missing you
I miss you, oh, yes I do

(I miss you) Oh, oh, oh, oh, oh, oh
(I'm talking to you, baby) I'm talking to you
(I miss you) You and only you, baby, baby, baby, baby
(I miss you) Oh, yes I do
(I'm talking to you, baby) Hear me when I say
I miss you

Missing you
(Missing you) The way you used to hold me
(Missing you) Hey, eh, eh, eh, eh, eh, hey
Please understand how much I really miss you
I'll do anything in this world to have you back again
(Missing you) I miss you
(Missing you) Hey, hey, I do
I miss you the winter, spring, summer
And the fall when we were together
Oh, oh, oh, oh, oh, oh yeah

(I miss you) Oh, how I hurt so bad
(I'm talking to you, baby) Listen to me
(I miss you) Oh, listen to me, oh, sweet baby
(I miss you) Oh, oh, oh, oh, oh, oh, oh, oh, oh
(I'm talking to you, baby)
(I miss you) Oh, oh, oh, oh, oh, oh, oh, yeah, yeah

(Oh, oh, oh) I miss you
(Oh, oh, oh) I miss you
(Oh, oh, oh) From the bottom of my heart
(Oh, oh, oh) To the depths of my soul, baby
I miss you,  oh, oh, oh, oh
(Oh, oh, oh) Gimme that love back, baby
(Oh, oh, oh) The way you used to hold me
The way you used to kiss me
Every time I lay at night, all I do is cry
I do love you, baby

I miss you, yes I do
(I miss you) Yes (You know I miss you, yes I do)
(I'm talking to you, baby) Show me those pretty eyes
Please baby, don't you cry (Yes I do, I miss you)
Hold me all night long (I miss you, yes I do)
(I miss you)
Squeeze me, make me warm (You know I miss you, yes I do)
(I'm talking to you, baby)
Oh, I miss you","rnb, soul, 90s, new jack swing, r&b"
57,58,"""Understanding""",Xscape,"8 ContributorsUnderstanding Lyrics“Understanding” peaked at #8 on the Billboard Hot 100 and topped Billboard’s R&B chart for two weeks in February of 1994.
What I need from you is understanding
How can we communicate
If you don't hear what I say
What I need from you is understanding
So simple as 1-2-3
Understanding is what we need

You don't really know me
You just wanna do what you wanna do
That's not the way it should be, no
You should listen to me, boy
(You better listen to me, boy)
I try so very hard to make you understand
But the choices you make, baby, they're all demands, oh

I try so very hard to keep our love alive
But you don't wanna meet me halfway
Then the understanding dies
There's no way that we can work it out
If we don't pull together
I don't mean to be demanding
But I want some understanding
I wanna be with you

What I need from you is understanding
How can we communicate
If you don't hear what I say
What I need from you is understanding
So simple as 1-2-3
Understanding is what we need

I listen to you, baby
And I know the things you're going through
I try to understand
That's why I'm still with you, baby
(I'm still with you)
See, every day we're living
Is one thing that will always be unsure
That's why I need you, baby, pleading, baby
Please let our love endure

I try so very hard to keep our love alive
But you don't wanna meet me halfway
Then the understanding dies
And there's no way that we can work it out
If we don't pull together
I don't mean to be demanding
But I want some understanding
I wanna be with you

What I need from you is understanding
How can we communicate
If you don't hear what I say
(If you don't hear what I say)
What I need from you is understanding
So simple as 1-2-3
(Can't you see, 1-2-3)
Understanding is what we need

All I need, all I need
All I need is understand
How, if you don't hear what I say
Can't you see...
Ooh ooh

I try so very hard to keep our love alive
But you don't wanna meet me halfway
Then the understanding dies
There's no way that we can work it out
If we don't pull together
I don't mean to be demanding
But I want some understanding
I wanna be with you

What I need from you is understanding
(Understanding)
How can we communicate
If you don't hear what I say
(Please hear what I say)
What I need from you is understanding
(Come on, baby, come on)
So simple as 1-2-3
(It's so simple as 1-2-3)
Understanding is what we need
What I need from you is understanding
(All I need from you)
How can we communicate
(How can we communicate)
If you don't hear what I say
What I need from you is understanding
(Understanding)
So simple as 1-2-3
Understanding is what we need
What I need from you is understanding","rnb, female vocalists, 90s, soul, Xscape"
58,59,"""This D.J.""",Warren G,"53 ContributorsThis D.J. LyricsWarren G’s childhood retrospective song and his second hit. The title refers to the fact that when Warren was starting out in the trio 213 with Nate and Snoop, he served as the group’s primary producer and… Read More 
It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

Can I get in where I fit in? Sit in, listen (uh-huh)
Let me conversate better yet Regulate
Shake the spot with my knot, may fade
'Cause I don't like to dream about gettin' paid
I played ball through the halls of CIS
With Snoop Dogg's big brother, call him Dirty Left
Rack 'em up, crack 'em up, stack 'em up against the gate
The homies tryin' ta catch me but they can't, wait
Damn, the street lights just came on!
And my momma's in the streets tellin' me to come home
I hit the gate and I hops on my Schwinn
And I tell the homies, ""Aight then,"" yeah

It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

Verse two (uh-huh), now what the fuck I do?
Catch the bus to Cal State, or chill with the Voltron crew?
And make a few ends on the side
Here comes a baby blue van, time to ride
So I hops in the van with my nigga Tick
And Baby Poppa back then, that was my clique
We groovin' to Santa Ana
And we plan-on makin' hellafied mount of money (hell yeah)
And what I did for extra fees
Was break niggas after work playin' get like me
I was fourteen years old, havin' a sack
Just a young motherfucker eatin' ValuPaks
Shootin' dice in the corners of them public schools
And I used to gangbang, but now it's a G thang
And I still know how to make those ends
You don't believe me? go ask The Twinz, motherfucker

It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

Yeah, check dis out, this is I'm O.G.L.B
Know what I'm sayin'? I'm on my little O.G. Warren G
And he just droppin' this to let you BG's know
What's happen, y'all got to recognize
'Cause this is y'know a Long Beach thang
21st Street, but check this out
G gonna go out there, ya know what I'm sayin'?
And handle that shit y'now? Yeah

It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G
It's kind of easy when you listen to the G'd-up sound
Pioneer speakers bumpin' as I smoke on a pound
I got the sound fo' yo' ass and it's easy to see
That this D.J. be Warren G

Hey Greg, I hope you was tapin' that shit!","G-funk, Hip-Hop, rap, west coast, hip hop"
59,60,"""Cry for You""",Jodeci,"15 ContributorsCry for You Lyrics“Cry For You” was released as the first single from Jodeci’s multi-platinum sophomore album Diary of a Mad Band. The single achieved gold status as it peaked at #15 on the Billboard Hot 100 and topped the Hot… Read More 
Without you, baby
I feel worthless
I'm living on the edge

It's been an hour since you've been gone
And that's too long, so come back home
I can't live without you
So I'll cry for you
Do anything that I can
To feel that touch from your hand
Sorry that I want you
Lady, what do I do?
You know...

You're everything I knew
Ooh yeah
Do what you want me to
I would do anything
Get on my knees for you
Ooh, baby
What else is there to do?
I don't know, I don't know
But I'll cry

Lady, I will cry for you tonight, tonight
(Yeah)
Lady, I will cry for you tonight, tonight
(Well-l-l, well
Help me out
Help me out, yeah)

You spoil me girl, like a child
When you're not here, I can't even smile
I can't think without you
My mind is always with you
It's amazing what you do
To keep me falling in love with you
Girl you all that I know
Where else can I go?
I say...


Lady, I will cry for you tonight
(Ooh, ooh, no, no, no)
Lady, I will cry for you tonight, tonight
(Help me out baby
Help me out baby, yes
I don’t know how else to say it
I don’t know what else to say
K-Ci help me sing it)
(JoJo, I’m right here, yes I am
I will cry for you lady
Sometimes my pillow gets so wet with tears
I don't have no one to call my own
I want you back, baby
Ooh yeah)

Baby I’m begging, baby I’m begging, begging, baby
(Said I’m beggin’)
Baby I’m begging, baby I’m begging, begging, baby
(uh, Lord have mercy)
(Say I’m begging)
Baby I’m begging, baby I’m begging, begging, baby
(I just can’t take it no more
I don’t give a damn anymore, baby)
Baby I’m begging, baby I’m begging, begging, baby
(Come back, come on back)
Is there anybody out there know what I’m talking about
Somebody, anybody)
Jodeci, let me here you say, YEAH-a, a, ah

Baby, I’m begging, baby, I’m begging, begging, baby","rnb, soul, 90s, new jack swing, rhythm and blues"
60,61,"""Keep Ya Head Up""",2Pac,"265 ContributorsTranslationsItalianoEnglishKeep Ya Head Up Lyrics2Pac may have been a gangsta, but he had feelings too! This is a feminist anthem from Pac, with references to pro-choice politics and what one might call “rape culture”.
In a 1995 interview with LA Times… Read More 
Little something for my godson Elijah
And a little girl named Corin
Some say the blacker the berry, the sweeter the juice
I say the darker the flesh, then the deeper the roots (Oh)
I give a holla to my sisters on welfare
2Pac cares if don't nobody else care (Oh)
And, uh, I know they like to beat you down a lot
When you come around the block, brothers clown a lot
But please don't cry, dry your eyes, never let up
Forgive, but don't forget, girl, keep ya head up
And when he tells you you ain't nothin', don't believe him
And if he can't learn to love you, you should leave him
'Cause, sister, you don't need him
And I ain't tryin' to gas you up, I just call 'em how I see 'em (You don't need him)
You know what makes me unhappy? (What's that?)
When brothers make babies
And leave a young mother to be a pappy (Oh, yeah, yeah, yeah)
And since we all came from a woman
Got our name from a woman and our game from a woman (Yeah, yeah)
I wonder why we take from our women
Why we rape our women, do we hate our women?
(Why? Why? Why? Why? Why? Why?)
I think it's time to kill for our women
Time to heal our women, be real to our women
And if we don't, we'll have a race of babies
That will hate the ladies that make the babies (Oh, yeah-yeah)
And since a man can't make one
He has no right to tell a woman when and where to create one
So will the real men get up?
I know you're fed up, ladies, but keep ya head up

(Keep ya head up)
Ooh, child, things are gonna get easier
(Keep-keep ya head up)
Ooh, child, things'll get brighter
(Oh-oh, keep ya head up)
Ooh, child, things are gonna get easier
(Keep-keep ya head up)
Ooh, child, things'll get brighter

Ayo, I remember Marvin Gaye used to sing to me
He had me feelin' like black was the thing to be
And suddenly the ghetto didn't seem so tough
And though we had it rough, we always had enough
I huffed and puffed about my curfew and broke the rules
Ran with the local crew and had a smoke or two
I realize Mama really paid the price
She nearly gave her life to raise me right (Oh, yeah-yeah)
And all I had to give her was my pipe dream
Of how I'd rock the mic and make it to the bright screen
I'm tryin' to make a dollar out of fifteen cents
It's hard to be legit and still pay your rent
And in the end, it seems I'm headin' for the pen'
I try to find my friends, but they're blowin' in the wind
Last night, my buddy lost his whole family
It's gonna take the man in me to conquer this insanity (Oh, no, no, no)
It seems the rain'll never let up
I try to keep my head up and still keep from gettin' wet up, huh
You know, it's funny, when it rains it pours
They got money for wars, but can't feed the poor
Said it ain't no hope for the youth
And the truth is it ain't no hope for the future
And then they wonder why we crazy, huh
I blame my mother for turnin' my brother into a crack baby
We ain't meant to survive 'cause it's a set-up
And even though you're fed up, huh, you got to keep ya head up

(Keep ya head up)
Ooh, child, things are gonna get easier
(Keep-keep ya head up)
Ooh, child, things'll get brighter
(Oh-oh, keep ya head up)
Ooh, child, things are gonna get easier
(Keep-keep ya head up)
Ooh, child, things'll get brighter

And, uh, to all the ladies havin' babies on they own
I know it's kinda rough and you're feelin' all alone
Daddy's long gone and he left you by your lonesome
Thank the Lord for my kids even if nobody else want 'em
'Cause I think we can make it, in fact, I'm sure
And if you fall, stand tall and come back for more (Oh-oh)
'Cause ain't nothin' worse than when your son
Wants to know why his daddy don't love him no mo'
You can't complain, you was dealt this hell of a hand
Without a man, feelin' helpless (I know you were)
Because there's too many things for you to deal with
Dyin' inside, but outside you're lookin' fearless
While the tears is rollin' down your cheeks
You're steady hopin' things don't all fall this week (Yeah)
'Cause if it did, you couldn't take it (Yeah)
And don't blame me, I was given this world, I didn't make it (Oh, yeah)
And now my son's gettin' older and older
And cold from havin' the world on his shoulders
While the rich kids is drivin' Benz
I'm still tryin' to hold on to survivin' friends (Oh, yeah)
And it's crazy, it seems it'll never let up
But, huh, please, you got to keep your head up","rap, Hip-Hop, Gangsta Rap, West Coast Rap, hip hop"
61,62,"""What's My Name?""",Snoop Doggy Dogg,"120 ContributorsWho Am I (What’s My Name)? Lyrics“Who Am I (What’s My Name)?” is Snoop Dogg’s grasp for identity. It’s his first solo single ever released as an artist, and his most financial hit to this day. It was also ranked 456 on NME’s “500 Greatest… Read More 
Ee-ya-ya-ya-ya-ya, The Dogg Pound's in the house (The bomb)
Ee-ya-ya-ya-ya-ya, The Dogg Pound's in the house
Snoop Doggy Dogg (The bomb)
Snoop Doggy Dogg (Dog)

From the depths of the sea, back to the block
Snoop Doggy Dogg, funky as the, the, The D.O.C. 
Went solo on that ass, but it's still the same
Long Beach is the spot where I serve my 'caine
Follow me, follow me, follow me, follow me, but don't lose your grip
Nine-trizzay's the yizzear for me to fuck up shit
So I ain't holdin nothin' back
And motherfucker, I got five on a twenty sack
It's like that and as a matter of fact (Rat-tat-tat-tat)
'Cause I never hesitate to put a nigga on his back
Yeah, so peep out the manuscript
You see that it's a must we drop gangsta shit
What's my motherfuckin' name?

Snoop Doggy Dogg (Yeah, yeah, yeah)
Snoop Doggy Dogg (The bomb)
Da-da-da-da-da, do-do-do-do
Doo-doo-doo-da-da (Dog)

It's the bow to the wow, creepin' and crawlin'
Yiggy-yes, y'allin', Snoop Doggy Dogg in
The motherfuckin' house like every day
Droppin' shit with my nigga Mr. Dr. Dre
Like I said, niggas can't fuck with this
And niggas can't fuck with that
Shit that I drop 'cause ya know it don't stop
Mr. One Eight Seven on a motherfuckin' cop
Tick-tock, never the Glock, just some nuts and a cock
Robbin' motherfuckers, then I kill dem bloodclots
Then I step through the fog and I creep through the smog
'Cause I'm Snoop Doggy (Who?) Doggy (What?) Doggy Dogg

Snoop Doggy Dogg
Snoop Doggy Dogg (The bomb)
Bow-wow-wow, yippie-yo-yippie-yay
Bow-wow-wow, yippie-yo (The bomb)
Bow-wow-wow, yippie-yo-yippie-yay
Bow-wow-wow, yippie-yo-yo-yo-yo (Dog)

Now just throw your hands in the motherfuckin' air
And wave the motherfuckers like ya just don't care (Dog)
Yeah, roll up the dank and pour the drank
And watch your stank (Why?) 'cause Doggy's on the gank
My bank roll's on swoll
My shit's on hit, legit, now I'm on parole, stroll
With Tha Dogg Pound right behind me
And up in your bitch is where ya might find me
Layin' that, playin' that G Thang
She want the nigga with the biggest nuts, and guess what?
He is I and I am him
Slim with the tilted brim, what's my motherfuckin' name?

Snoop Doggy Dogg (The bomb)
Snoop Doggy Dogg
Snoop Doggy Dogg (The bomb)
Snoop Doggy Dogg (Dog)
Da-da-da-da-da, do-do-do-do
Doo-doo-doo-da-da (The bomb)
Da-da-da-da-da, do-do-do-do
Doo-doo-doo-da-da (Dog, the bomb)

Doggy Dogg (Bow-wow-wow, yippie-yo, yippie-yay)
Doggy Dogg (Bow-wow-wow, yippie-yo, the bomb)
Doggy Dogg (Bow-wow-wow, yippie-yo, yippie-yay)
Bow-wow-wow, yippie-yo (The Bomb)
What is his name? (Dog)
Snoopy Dogg and the Dogg Pound (Dog, the bomb)
Oh, Snoopy Dogg
Snoopy Dogg, Snoopy Dogg (The bomb)
Yeah, yeah, I know his name (Dog)
C'mon Snoopy, c'mon Snoopy (The bomb)
And the Dogg Pound, Snoopy Dogg (The bomb)
Snoopy Dogg, Snoopy Dogg (Dog)
Dog, nasty dog, doggy dog","Hip-Hop, rap, Gangsta Rap, west coast, hip hop"
62,63,"""Another Night""",Real McCoy,"14 ContributorsAnother Night LyricsOriginally, the band was known as “MC Sar & The Real McCoy”. They released this song under that name in 1993 in Europe as part of their album “Space Invaders”. It featured Karin Kasar as the singer and band… Read More 
Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night, I dream of love so true

Just another night, another vision of love
You feel joy, you feel pain, 'cause nothing will be the same
Just another night, is all that it takes
To understand, the difference between lovers and fakes
So baby, I talk talk, I talk to you
In the night, in your dream, of love so true
I talk talk, I talk to you
In the night, in your dream, of love so true

In the night, in my dreams, I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain 'cause it's still the same
When the night is gone, I'll be alone

Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night, I dream of love so true


Just another night, another dream, another vision
Of love, with me
I'm here to set you free
I am your lover, your brother
Hey sister, let me cover
Your body with my love is with my lovin' just another
Vision of love, that seems to be true
All we do, all the things that only lovers do
Vision of love, that seems to be true
All we do, all the things that only lovers do

In the night, in my dreams, I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain 'cause it's still the same
When the night is gone, I'll be alone

Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night, I dream of love so true

I talk talk, I talk to you
In the night, in your dream, of love so true
I talk talk, I talk to you, in the night, in your dream, of love so true

In the night, in my dreams I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain, 'cause it's still the same
When the night is gone, I'll be alone

Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night, I dream of love so true","eurodance, dance, 90s, pop, House"
63,64,"""Your Body's Callin'""",R. Kelly,"22 ContributorsYour Body’s Callin’ Lyrics“Your Body’s Callin'” is the third single by R. Kelly on his 1994 album 12 Play. The song have been sampled in many famous songs including “Unbelievable” by The Notorious B.I.G.
Yeah, girl, I don't want you to hold back any longer, baby
'Cause tonight, I'm gonna give you all the things
I know you've been waiting for
So, brace yourself, and listen

I hear you calling, here I come, baby, to save you, oh oh
Baby, no more stalling, these hands have been longing to touch you, baby, woo
And now that you've come around, to seeing it my way
You won't regret it, baby, and you surely won't forget it, baby
It's unbelievable how your body's calling for me
I can just hear it calling, calling, calling for me

My body's calling for you (baby, I can hear it calling, baby)
My body's calling for you (your body's calling me)
My body's calling for you (oh, oh)
My body's calling for you (come on, baby)

Tell me, what's your desire, baby, your wish is my will, oh yes, it is
Baby, let me take you higher and show you how you should feel, baby
Oh, so I speak now and forever hold your body
Whatever it is you want from me, lady
You see you don't have to say nothing, I know when your body wants something
And it's easy for me to see that your body's calling for me

My body's calling for you (oh, oh, I hear it calling me)
My body's calling for you (I can hear it calling me)
My body's calling for you (oh, oh, oh, calling me)
My body's calling for you (yeah, yeah)

I'm listening, baby, I hear you calling me
I'm listening, baby, I hear you calling me
I'm listening, baby, I hear you calling me
I'm listening, baby, I hear you calling me
Hear your body calling me

My body's calling for you (oh, I hear you calling me, yeah)
My body's calling for you (I hear you calling me, oh, oh)
My body's calling for you (I can just hear you calling me, yeah)
My body's calling for you
My body's calling for you (see your body's yearning, yeah, yearning for me)
My body's calling for you (and I like it, baby, it's yearning for me)
My body's calling for you (yes, it is, you see I'm wild enough to know)
My body's calling for you (when a body's yearning, for me, yeah)
My body's calling for you (I wanna say it again)
My body's calling for you (see I'm wild enough to know, when a body's yearning, for me)
My body's calling for you (yeah)
My body's calling for you (girl, you want me, oh, 'cause I can hear your body calling for me, yes, I can, oh)
My body's calling for you (I can hear it a mile away, calling for me)
My body's calling for you","rnb, soul, Hip-Hop, rap, hip hop"
